Company Name, Telephone, Fax, Email, Contact Person
MENTOR WOOD SDN BHD, (09) 270 1088, (09) 277 2615, lilyyong@foremosthorizon.com, Mr Lau Boon Seong
MERCHANTS GATEWAY SDN BHD, (0 3) 3348 8369, (0 3) 3348 8269, csv@mmerchants.com, Mr Low Kok How
MERU ASIA RESOURCES SDN BHD, (0 3) 8075 3681, (0 3) 8075 3682, meru.asia.my@gmail.com, Mr Har Choong Huat
MG7 TIMBER TRADING SDN BHD, (0 7) 382 3778, (0 7) 382 1889, smpmer@gmail.com, Ms Li Man Ning
MGN GROUP SDN BHD, (0 3) 7972 2666, (0 3) 7972 3666, nathan.g@mgngroups.com, Mr Gopinathan
MHR CONCEPT SDN BHD, (03) 5891 1077, (03) 5885 4977, mhrconcept@hotmail.com, Mr Wong Chun Wah
MIDDLE EAST LINKS (M) SDN BHD, + 60 3 2110 6617, + 60 3 2110 6617, areej@aloudh.com, Mr Abdel Nabi Satti Ali [H/P No: +60 (019) 649 0617]
MINE WAREHOUSE SERVICES SDN BHD, (0 3) 3345 2788, (0 3) 3348 7588, pkg.acc@minelog.com.my, Mr Ng Kian Wei
MING ENTERPRISES, (0 3) 7874 6750, (0 3) 7874 9561, mingenterprises@gmail.com, Mr Lee Tee Ming
MINI WOOD PRODUCTS (JOHORE) SDN BHD, + 60 (07) 883 7715, + 60 (07) 883 2803, mini-wood@hotmail.com, Dato Tan Yu Kung
MIYAO-TOKI (M) SDN BHD, (0 4) 489 2193 / 489 2433, (0 4) 489 1143 / 489 1435, roaini@miyaotoki.com, Mr Yasushi Takamori
MKH FURNITURE DESIGN SDN BHD, NaN, (0 6) 986 9287, mkhdesign5117@hotmail.com, Mr Quek Ser Hien
MM TIMBER PRODUCTS SDN BHD, + 60 3 3324 2888, + 60 3 3324 2880, nancy@mm-group.com.my, Ms Nancy Ch'ng
MO-TECH TIMBER TRADING SDN BHD, (0 6) 454 3982, (0 6) 454 3982, motech.timbertrading@gmail.com, Mr Lee Yew Hin
MODERN TIMBER PRODUCTS SDN BHD, + 60 7 467 5319| 467 5315, + 60 7 467 5633, mtp@moderntimber88.com.my, Mr Lee Beng Chuan
MOHLIM WOOD INDUSTRIES SDN BHD, + 60 (07) 652 1827, + 60 (07) 652 1134, mohlimwood@gmail.com, Mr Ho Ming Hsiou
MOMENTUM DESIGN SOLUTION SDN BHD, (03) 8958 5330, (03) 8958 5330, momentumds88@gmail.com, Ms Lai Sook Yee
MSK TIMBER SDN BHD, + 60 4 502 5205, + 60 4 508 5798, msktimbersb@gmail.com, Ms Tan Ah Hoo
MSK TIMBER TRADING & SDN BHD, (0 4) 508 5798, (0 4) 508 5798, msktimbertrgsb@gmail.com, Ms Tan Ah Hoo
MSSS MARKETING & TRADING SDN BHD, NaN, (0 7) 331 5636, yuki80595@gmail.com, Mr Tan Pick Chai
MTME POINT SDN BHD, + 60 3 6257 4157, + 60 3 6257 4162, moonkar@gmail.com, Mr Chen Moon Kar [H/P No: +60 (012) 517 2575]
MULTEC ENTERPRISE SDN BHD, (0 3) 8723 2233 / 8723 1122, (0 3) 8723 2211, wwp@woodlandor.com.my, Ms Jackie Mun
MW DECOR CENTRE SDN BHD, + 60 (07) 656 1031, + 60 (07) 656 1032, mwdecor@gmail.com, Mr Koo Chin Min [H/P No: +60 (019) 779 3567]
MY RAINTREE SDN BHD, (0 3) 8741 6148 / 8741 3148, NaN, myraintree88@gmail.com, Ms Elaine Chia
MYS TIMBER SDN BHD, + 60 9 631 1517, + 60 9 631 1518, mystimber@yahoo.com.my, Mr Tan Tek Yan
N D FURNITURE SDN BHD, NaN, (0 3) 8724 3848, ndfur18@gmail.com, Mr Ler Thiam Huat
N. J. INTERNATIONAL SDN BHD, NaN, + 60 3 5633 8611, naveenj79@yahoo.com, Mr Naveen Anthony Jatawardena [H/P No: +60 (012) 635 5872]
N.S. LANDMARK (M) SDN BHD, (019) 667 5772, NaN, NaN, Mr Sree Renganathan
NAKHODA LOGISTICS SDN BHD, (03) 3165 2718, (03) 3165 7746, hatika@nakhoda.com.my, Mr How Peng Cheong @ Low Peng Cheong
NAM CHUAN HUAT TRADING, (06) 556 3691, (06) 556 3691, cbgoh63@hotmail.com, Mr Goh Chee Beng
NAM LEONG TIMBER TRADING, (0 7) 773 3326, (0 7) 773 7415, namleongtimber@gmail.com, Mr Liau Chong Wa
NAM SENG KENG LIP SDN BHD, + 60 4 890 3697| 890 5222, + 60 4 899 3698, nam_seng@tm.net.my, Mr Ng Keng Lip
NATUNA VENTURE (S) SDN BHD, (0 86) 318 322, (0 86) 318 321, euhea7@gmail.com, Mr Chieng Eu Hea
NER BIO SDN BHD, (019) 266 3785, NaN, godisluv0514@yahoo.co.kr, Mr Mohd Amin Bin Mohd Zin
NETWOOD RESOURCES SDN BHD, + 60 3 7885 0115, + 60 3 7885 0114, info@netwood.com.my, Mr Danny Ng
NEW CHANG HUA SDN BHD, NaN, NaN, newchanghua@gmail.com, Ms Yvonne Chong
NEXUS TIMBER SDN BHD, NaN, NaN, info.nexustimber@gmail.com, Mr Yong Sau Lee
NG AH KEK SAWMILL SDN BHD, + 60 9 260 2321| 260 2323, + 60 9 260 2320, ngahkek@yahoo.com.my, Mr Han Meng Wah
NG TEONG KIAT SAWMILL (TRIANG) SDN BHD, + 60 9 266 1788, + 60 9 266 4553, ntksawmill@gmail.com, Y Bhg Dato' Amie Lim Siew Mei
NGARE SAMDOP LHACHAP LING SDN BHD, NaN, (06) 792 1687, nsll.sdn.bhd@gmail.com, Mr Eric Hiew Kim Song
NGOI TIMBER SDN BHD, (0 9) 795 1188, (0 9) 795 1182, pook5986@yahoo.com, Mr Pook Wei Tsaag
NICE EPITOME SDN BHD, + 60 (09) 795 0050, + 60 (09) 795 0336, tankokwei7878@gmail.com, Tan Kok Wei
NICEYEAR SYSTEM SDN BHD, + 60 (06) 981 2651, + 60 (06) 981 2895, eileen383@gmail.com, Ms Chua Siew Khon: [H/P No: +60  (017) 666 7689]
NILAM MAKMUR SDN BHD, (04) 922 960, (04) 922 1450, angelyn@nilammakmur.com.my, Ms Lim Ah Moy
NINETY S FURNITURE SDN BHD, (0 6) 985 8112, (0 6) 985 8112, dyven@90sfurniture.com, Mr Dyven Si Dee Voon
NINO (M) SDN BHD, (03) 7832 7515, (03) 7832 7516, noor@nino.my, Mr Cheong Mai Keng
NK WOODS SDN BHD, NaN, NaN, nkwoods966@gmail.com, Mr Mazni Bin Saad
O M QUALITY SDN BHD, (09) 961 2822 / 961 2823, (09) 961 2822, omqualitysdnbhd@gmail.com, Mr Steven Yap
ONE TEAM TIMBER SDN BHD, (0 9) 975 8667, (0 9) 975 8667, oneteamtimber.chung@gmail.com, Mr Chow Wei Vern
OPSEWOOD TROPICAL SDN BHD, (0 3) 7845 9117, (0 3) 7845 9917, opsewood@gmail.com, Mr Lee Gim Hee
OSBWOOD SDN BHD, NaN, NaN, osbwking@gmail.com, Ms Low Siang King @ Low Cheng Kiang
OUD LINE SDN BHD, + 60 3 2145 5077, + 60 3 2145 4077, a_kamalc@hotmail.com, Mr Ahmed Kamal Chowdhury [H/P No: +60 (016) 603 8387]
OVERSEA TIMBER SUPPLIES SDN BHD, + 60 3 7729 3218| 7729 3129| 7729 3400, + 60 3 7727 2250, ots333@tm.net.my, Mr Ong Tuck Seng
P. I. F. SDN BHD, + 60 3 9285 6415 (3 LINES), + 60 3 9282 3725, pifhwojs@outlook.com, Mr Benjamin Chong
PADANG MEHA SAWMILL (KEDAH) SDN BHD, (0 4) 485 1188, (0 4) 485 1199, p.mehasawmill@gmail.com, Mr Lim Chin Lam
PAHANG LIAN HUAT SDN BHD, (0 9) 277 8800, (0 9) 277 6060, plhsb1@gmail.com, Mr Edison
PALM WOOD TIMBER SDN BHD, + 60 3 8945 2023, + 60 3 8945 4028, gbpalm@yahoo.com, Mr William Wong
PAN EURO PRODUCTS SDN BHD, + 60 9 549  9271| 513 1218, + 60 9 549 9271| 516 4948, chin_yew@yahoo.com, Mr Loo Chin Yew
PAN RESOURCES SDN BHD, + 60 3 7492 2220, + 60 3 7492 2223, panresources@gmail.com, Ms Christy Wong
PANWATER ENGINEERING SDN BHD, (03) 6157 9399, (03) 6157 0399, clwan@panwater.com, Ms Wan Chen Looi
PARAMOUNT LUMBER SDN BHD, NaN, (0 88) 245 293, paramountmill@yahoo.com, Mr Tan Seng Chong
PAVILON DESIGN & RENOVATION SDN BHD, (07) 386 8808, (07) 388 1584, jennygoh3886@yahoo.com, Mr Tea Voon Kiong
PAVILON INTERIOR DESIGN SDN BHD, + 60 7 387 6013| 386 8808, + 60 7 388 1584, jennygoh3886@yahoo.com, Mr Tea Voon Kiong [Managing Director]
PCH TIMBER SDN BHD, (0 3) 8024 9427, (0 3) 8024 9459, pch.timber@gmail.com, Mr Chew Kar Heng
PELLCO INDUSTRIES SDN BHD, (03) 7733 9811, (03) 7733 9811, hong@pellco.com.my, Mr Cheong Meng Hong
PENG KEE ENTERPRISE SDN BHD, (0 4) 263 2011, (0 4) 262 4798, admin@pengkee.com, Mr Tan Boon Hung
PERABUT CHIP HONG SDN BHD, + 60 (06) 987 2380, + 60 (06) 987 5171, chiphong@chiphong.com, Mr Ng Chong Lock
PERCEPTIVE PROFILE SDN BHD, + 60 (05) 366 5439, + 60 (05) 366 5139, admin@perceptive.com.my, Mr Cheah Chung Yeoh
PERKAYUAN RIMBA MURNI SDN BHD, + 60 9 513 1218, + 60 9 513 1198, N. A., Ms Cheah
PERKAYUAN SIM HUP SDN BHD, + 60 (09) 912 3027, + 60 (09) 912 3453, perkayuansimhup@hotmail.com, Mr Wang Kok Bing
PERMASCORP SDN BHD, (0 3) 9285 3906, (0 3) 9282 2349, hq.permascorp@gmail.com, Mr David A/L N Rajoo
PERMATA MAKMUR SDN BHD, + 60 4 423 4376| 423 4796, + 60 4 423 5770| 423 7823, lyching74@yahoo.com, Ms Ching
PERMATA UPAYA (M) SDN BHD, + 60 9 266 1099| 266 7702, + 60 9 266 1769, info@permataupaya.com.my, Mr Liang Kok Bin
PERNIAGAAN TITI CANE SDN BHD, + 60 6 611 2378, + 60 6 611 2378, chia@titicane.com, Mr Chia: [H/P No: +60 (019) 265 3712]
PERUSAHAAN KAYU PAHANG TIMUR SDN BHD, + 60 9 566 1477, + 60 9 568 1211, admin@twinsfurniture.com, Y Bhg Dato' Stanley Goh
PERUSAHAAN PERKAYUAN WAN FENG SDN BHD, + 60 7 937 0610, + 60 7 937 0618, wanfeng9331@yahoo.com, Mr Ken Tan
PERWAKILAN NAKHODA SDN BHD, + 60 3 3167 5012| 3167 5013| 3165 2271, + 60 3 3167 6868| 3168 6868, bkyang@nakhodalse.com, Mr How Ing Kok
PESAKA TERENGGANU BHD, + 60 9 833 7232| 833 7266| 833 7323, + 60 9 833 7328, yue86_jian@yahoo.com, Tuan Hj Abd Aziz bin Awang Tera
PESAMA TIMBER CORPORATION SDN BHD, + 60 9 859 1122| 859 2514| 859 1291| 859 2448, + 60 9 859 4544, pesamatimber@yahoo.com.my, En Hilmi bin Awang
PINK HARBOUR SDN BHD, (0 3) 7873 7736, NaN, phtimbermalaysia@gmail.com, Mr Bubalan A/L Subramani
PIO BIOMASS (M) SDN BHD, (03) 6251 1101, (03) 6251 1127, piokl@pio.com.my, Mr Wong King Iion
PIO HARDWOODS (M) SDN BHD, + 60 3 6251 1101, + 60 3 6251 1127| 6251 1128, piokl@pio.com.my, Mr David Wong
PIO RESOURCES SDN BHD, (03) 6251 1101, (03) 6251 1127, piokl@pio.com.my, Mr Wong King Iion
PMH TIMBER INDUSTRIES SDN BHD, (0 3) 6145 0968, (0 3) 6144 0968, enquiry@pmhtimber.com, Mr Low Kai Meng
POH KEONG INDUSTRIES SDN BHD, + 60 (06) 981 1498| 981 3486| 985 0546, + 60 (06) 981 1162, janet@pohkeongfurniture.com, Mr Lee GK
POWERFLOW MARKETING SDN BHD, + 60 3 5161 4763 012260 8844, + 60 3 5161 5910, sl_sun@live.com, Mr Lim Swee Hing
PRECIOUS CONCEPT (M) SDN BHD, + 60 (05) 757 8202, + 60 (05) 757 8204, noovana716@yahoo.com, Tan Chong Yen
PREMIER INTERNATIONAL MARKETING SDN BHD, (0 3) 7859 0877, (0 3) 7859 0977, liewch@prg.com.my, Mr Tam Yet Shyan
PREMIER LUMBER SDN BHD, + 60 3 2078 6315, + 60 3 2078 7513, cktang51@hotmail.com, Mr Tang Chee Kiong
PREMIER WOODPROFILE SDN BHD, + 60 (07) 652 2031, + 60 (07) 652 2039, marketing@premwood.com, Mr Tang Kok Kiang
PRENT (MALAYSIA)  SDN BHD, (0 7) 599 7661 / 599 7662, (0 7) 599 7660, NaN, Mr Saiful Nizam Bin Masrom
PRISTINE REGION SDN BHD, (03) 6156 8138, (03) 6157 2147, pristine.region@gmail.com, Mr Lee Kean Heng
PRO NOBLE TIMBER SDN BHD, NaN, NaN, ygn6068@gmail.com, Ms Alison Yeo Geok Neo
PROCESS SYSTEMS ENGINEERING SDN BHD, + 60 3 6272 4628, + 60 3 6275 5629, hongpl19@gmail.com, Mr Hong Pek Lee
PROFINA PLYWOOD SDN BHD, (0 7) 773 2499, (07) 774 2499, profinaplywood@gmail.com, Mr Chuah Keng Kooi
PULAI SETIA SDN BHD, NaN, (09) 916 2636, pulaisetiasdnbhd@gmail.com, Mr Lim Bing Chong
PURE STAR EXPORT SDN BHD, (06) 986 7899, (06) 986 0000, shipping@purestarexport.com, Mr Ee Szu T'sung
PVS INTERNATIONAL (M) SDN BHD, NaN, (0 86) 317 573, wwong@pvsinternational.com, Mr William Wong
QF BIOENERGY SDN BHD, NaN, NaN, qfbioenergy@gmail.com, Ms Tee Chia Hooi
QOSMER WOOD SDN BHD, + 60 (03) 6156 6989, + 60 (03) 6156 8773, qosmerwood@gmail.com, Mr Teh Chee Fah [Director]
QUALITY COILS INDUSTRIES SDN BHD, (05) 465 2771, (05) 465 4091, info@qci.com.my, Mr Andrew Yeoh Chin Yek
R JIE WOOD TRADING, NaN, NaN, NaN, Mr Chong Soon Chai
R. K. WORLD RESOURCES SDN BHD, + 60 3 3168 1380, + 60 3 3168 7430, vani@rkworld.com.my, Mr Ramiah Komaran
R. S. TIMBER SDN BHD, + 60 3 3318 8099, + 60 3 3319 1899, rstimber@rsgroup.com.my, Mr Nagaradran R.
RABIA WOOD INDUSTRIES SDN BHD, NaN, NaN, rabiawood@gmail.com, Encik Mohamed Sadik Batcha
RAINBOW PELLET SDN BHD, (0 3) 6251 1101 / 1102 / 1103 / 1105 / 1106, (0 3) 6251 1127 / 1128, piokl@pio.com.my, Mr Wong Chiung Cheng
RAZIQ FAREED SDN BHD, + 60 3 7726 5513, + 60 3 7725 5517, razikj@yahoo.com, Mr Razik Fareed Jaffardeen
RDDHI RESOURCES SDN BHD, (0 3) 3323 2514, (0 3) 3319 0796, vj@rddhi.biz, Mr Vijayaraj Sundaraj
REDBRIDGE SDN BHD, (0 7) 353 9478, (0 7) 353 1212, redbrigego@hotmail.my, Mr Go Cheng Hock
REI MANAGEMENT SDN BHD, + 60 3 8600 1577, + 60 3 8600 1568, reimngt@streamyx.com, Mr Chee TF
RELIANCE TIMBER TRADING (M) SDN BHD, + 60 9 517 1188, + 60 9 517 1166, reliancett@yahoo.com, Datin Fu Shu Yang
REPWELL SDN BHD, + 60 (084) 334 089, + 60 (084) 311 089, repngu@gmail.com, Mr Ngu Ming Ung
RIMBA MAKMUR SDN BHD, (0 3) 3358 6063, (0 3) 3344 6339, yoonlai3@yahoo.com, Mr Lai Yoon Choy
ROSEWOOD CORPORATION SDN BHD, + 60 3 2166 6922| 2166 6902, + 60 3 2161 0944, general@rosewoodcorp.biz, Mr Lau Hieng Tung
RS IMPEX SDN BHD, NaN, NaN, rspexbhd@gmail.com, Mr Tiang Keik Hin
RURAL ASSET DEVELOPMENT SDN BHD, (0 3) 7831 2319, (0 3) 7832 4319, accounts@ruralasset.com, Ms Sherlyn Low
RX NINE TRADING SDN BHD, + 60 (016) 771 2168, + 60 (07) 512 6679, rxnine8808@gmail.com, Ms Woon Swee Fan
S M P MERCHANT SDN BHD, (07) 382 3778, (07) 382 1889, smptimber@gmail.com, Mr Lee Hai Lee
S P SETIA MARKETING SDN BHD, (0  3) 6092 8022, (0 3) 6092 1805, tze@spsetia.com, Y Bhg Dato' Khor Chap Jen
SAFARI OFFICE SYSTEM SDN BHD, + 60 (03) 6156 6277, + 60 (03) 6156 8266, allan@safariofficesystem.com, Mr Allan Tang [H/P NO: +60 (012) 391 2000]
SAIRA RESOURCES SDN BHD, (0 3) 4031 9690, (0 3) 4031 9691, sairaresources@gmail.com, Mr Zahid Habib
SAL PACKAGING (M) SDN BHD, + 60 7 883 3116, + 60 7 883 3115, enquiry@salpac.com.my, Ms Chong Suk Shien
SALAK (SOON LEE) SAWMILL, + 60 3 8706 1250| 8706 1133, + 60 3 8706 1133, salak_soon_lee@hotmail.com, Mr Barry Koh
SAMUDAYA PHITA ENTERPRISE, NaN, (0 7) 353 2543, NaN, Mr Lee Chong Guan
SANKEY DOWELS & MOULDING SDN BHD, + 60 3 3241 6406, + 60 3 3241 1386, sankey@sankeydowels.com, Mr Brian F. Sankey
SANSEN MALAYSIA AGARWOOD SDN BHD, (07) 338 4131, NaN, juliann8831@gmail.com, Ms Juliann Tan
SANTARY SDN BHD, + 60 5 466 6144, + 60 5 466 8144, simpohtrading@yahoo.com, Mdm Wong Lai Yong
SCH AGROTECH SDN BHD, NaN, NaN, crofton_ng0315@hotmail.com, Ms Ng Kai Lee
SCK WOODEN INDUSTRIES SDN BHD, + 60 (0 9) 581 9075 / 581 9654, + 60 (09) 581 9636, info@sck.com.my, Mr Gary Koh
SCT INDUSTRIES (M) SDN BHD, + 60 3 2166 9337, + 60 3 2166 8337, scts37@gmail.com, Mr KW Soh
SE AGRO INDUSTRIES SDN BHD, NaN, (07) 925 5378, NaN, Mdm Leong Leng Leng
SENG CHAP WAH TIMBER MERCHANT SDN BHD, + 60 9 266 5166, + 60 9 266 5168, scwtks@gmail.com, Mr Andy Yuan Fang
SENG HOCK HOE SAWMILL SDN BHD, + 60 5 791 3026, + 60 5 791 3026, senhokho@tm.net.my, Mr Seah Joo Chye
SENG YIP FURNITURE SDN BHD, + 60 (03) 8723 8500| 8723 4535, + 60 (03) 8723 3500, jackylim@syf.com.my, Mr AC Ng
SEONG LEE TIMBER INDUSTRIES SDN BHD, + 60 5 321 2316, + 60 5 321 6316, seonglee.ti@gmail.com, Mr Pong Yuk Cheong
SERIBU BIO-SYSTEMS SDN BHD, (0 3) 2272 1697, (0 3) 2272 3022, seribubio@gmail.com, Mr Chandra A/L L Ramprakash
SGI POWERHAUS SDN BHD, (0 3) 6257 8167, (0 3) 6250 8167, santhanavasan@gmail.com, En Radin Faisal
SGS ENTERPRISE SDN BHD, (0 9) 912 3072, (0 9) 912 2967, sgsentsb@gmail.com, Mr Chong Yit Woon
SGT GLOBAL SDN BHD, (03) 4105 6119, (03) 4105 8585, global@shingitai.com, Mr George Tan
SHANHONG ENTERPRISE SDN BHD, + 60 7 934 1510, + 60 7 934 1511, N. A., Mr Tey Take
SHEN FOONG TRADING SDN BHD, NaN, + 60 3 3272 0013| 9100 1694| 9101 2130, esteemms@yahoo.com, Mr Tan AK [H/P No: +60 19 277 2928]
SHENG HAO INDUSTRY SDN BHD, + 60 (06) 972 7829, + 60 (06) 972 7654, shenghao_industry@hotmail.com, Mr Lu A Ping
SHINAGAWA SDN BHD, + 60 3 5122 9130, + 60 3 5122 8130, fscwood999@gmail.com, Mr Wong Sin Cheng
SHINGITAI CORPORATION SDN BHD, + 60 3 4105 6119, + 60 3 4105 8585, office@shingitai.com.my, Mr George Tan
SHUA-LYM WOODWORKS SDN BHD, + 60 4 501 2655, + 60 4 501 2654, shualym691@gmail.com, Mr Chan Huan Ong
SIDAS CONSTRUCTION SDN BHD, (07) 937 0837, (07) 937 1333, sidasconstruction@gmail.com, Mr Ng Kian Heng
SIGNATURE PRODUCTS SDN BHD, (0 4) 898 2235, (0 4) 898 2232, signature@signatures.com.my, Mr Foo Leong Soon
SIN CHOONG YAN WOODWORK SDN BHD, (0 5) 201 5990 / 201 7989, (0 5) 201 7989, scywwsb@gmail.com, Mr Lee Kee Chong
SIN LANG AGARWOOD SDN BHD, + 60 6 232 1626, + 60 6 232 5811, N. A., Mr Lew JH
SING HUAT FURNITURE SDN BHD, + 60 (012) 620 5215, + 60 (06) 987 5177| 06 986 0446, singhuat@live.com.my, Mr. Sor Ca Boon
SINGA TRADING (M) SDN BHD, (0 3) 7783 7936, (0 3) 7781 4990, mei.stgroup@gmail.com, Mr William Ang Wee Ping
SITRAWOOD GLOBAL SDN BHD, + 60 (07) 773 0975, + 60 (07) 773 1015, sitrawoodglobal@yahoo.com.sg, Mr Chew
SKS LUMBER RESOURCES SDN BHD, + 60 3 8942 8992, + 60 3 8942 4992, lumber_sks@yahoo.com, Mr Yap
SL TIMBER SDN BHD, (07) 652 2959, (07) 652 6959, sltimber9188@gmail.com, Mr Soh Hock Sian
SOLID LUMBER SDN BHD, + 60 3 3324 9838, + 60 3 3324 8638, solidlumber@gmail.com, Mr C. L. Khoo
SONG SIM SAWMILL SDN BHD, + 60 9 277 1339, + 60 9 277 3399, songsimsawmill@gmail.com, Mr Soh Tan Meng [H/P : +60 (019) 988 6663]
SOON HENG TIMBER INDUSTRIES SDN BHD, (0 7) 431 8855, (0 7) 438 7325, soonheng.timber@gmail.com, Mr Ng Kok Wee / Mr Ng Kok Seng
SOON HONG CASKET TRADING, + 60 4 4316260, NaN, tomorrowlim@gmail.com, Mr.Lim [H/P : + 60 (012) - 4534638]
SOONFAR WOODWORKS SDN BHD, NaN, (0 89) 749 417, soonfar@gmail.com, Ms Lau Yoke Mooi
SPECIAL PROFIT SDN BHD, (09) 912 0961 / 912 0962, (09) 912 0960, specialprofitsb@hotmail.com, Mr Bong Kim Fah
SPRINGWOOD FANCY PANEL SDN BHD, + 60 4 416 0639, + 60 0 4 403 2388, anson_1985@hotmail.com, Mr Anson Lee Teik Seng
SRI MARTEK MARBLE INDUSTRIES (M) SDN BHD, (05) 357 2900, (05) 357 2918, a1962203@gmail.com, Mr Koo Kwok Lian
STANWOODS CORPORATION SDN BHD, + 60 9 277 3567, + 60 9 277 2660, hlper1@yahoo.com, Mr Per EC
STAR WOOD INDUSTRIES SDN BHD, + 60 3 3134 2288/ 2528, + 60 3 3134 2529, dragonsaiyan80@yahoo.com, Mr Rohan Ooi Keng Huat
STAR WOODLAND SDN BHD, NaN, (0 3) 9101 3003, star_woodland@hotmail.com, Ms Vicky Liew Sue Kiow
STK TIMBER EXPORT SDN BHD, NaN, (0 9) 566 2451, stkexport@hotmail.com, Mr Loh Kian Khim
STRAITS TIMBER EXPORTS SDN BHD, + 60 (03) 7781 2199, + 60 (03) 7781 2609, stppj@stpsb.com.my, Mr Ang Boo Hiang
STRAITS TIMBER PRODUCTS (PAHANG) SDN BHD, + 60 (03) 7781 2199, + 60 (03) 7781 2609, stppj@stpsb.com.my, Mr Ang Boo Hiang
STRAITS TIMBER PRODUCTS SDN BHD, + 60 (03) 7781 2199| 7781 4158, + 60 (03) 7781 2609, stppj@stpsb.com.my, Mr Ang Boo Hiang
SUKANA JAYA SDN BHD, (0 9) 513 61139, (0 9) 516 5229, NaN, Mr Loo Swee Kian
SUN KIN HENG SDN BHD, + 60 5 466 1822, + 60 5 466 1822, N. A., Mr Sam Chan [H/P No: +60 (016) 557 2873]
SUN WINDRA TRADING SDN BHD, + 60 4 - 4251 554, + 60 4 - 4251 554, sunwindra@yahoo.com, Mr Ramesh Manian
SUN Z MARKETING SDN BHD, (0 3) 6140 3996, (0 3) 6156 7996, sunj6999@gmail.com, Mr Heng Fook Boon
SUNDECK WOOD PRODUCT SDN BHD, + 60 7 353 2042, + 60 7 353 2042, swp@sundeck.com.my, Mr Khoo Swee Puan
SUNLIGHT TIMBER CORPORATION SDN BHD, + 60 (03) 3134 2786 / 3279, + 60 (03) 3134 2179, pandian@suntimber.com, Mr. Pandian
SUNTEC TIMBER SDN BHD, (0 9) 944 0600, (0 9) 944 0746, suntec_timber@hotmail.com, Mr Wang Kok Tin
SUNWAY MARKETING SDN BHD, (03) 5639 9997, (03) 5639 9522, swtradinghelpdesk@sunway.com.my, Mr Danny Tan Chin Uee
SUPER POWER BK SDN BHD, (04) 397 1176, (04) 438 9206, bbabu1176@gmail.com, Mr Ba Bu
SUPER SUNRISE SDN BHD, NaN, (0 3) 6186 8326, kwongyunghan@gmail.com, Mr Kwong Yung Han
SUPPLY MATTERS SDN BHD, (03) 6185 8235, (03) 6185 8237, admin@suppmatters.com, En Salah Hussain
SUPREME K.D. PROCESSING SDN BHD, + 60 9 566 6888, + 60 9 566 7290, chooty@timber.com.my, Mr Choo
SUPREME WOODBASE PRODUCT SDN BHD, 09 566 6666, 09 566 7290, futurewoodproducts@timber.com.my, Mr Choo Tuan Yong
SURIA DAYAPI TIMBER PRODUCTS SDN BHD, + 60 3 2093 0733| 2093 1733, + 60 3 2093 2733, suriadayapi@gmail.com, Mr Soong Teck Hin
SWP WOOD PRODUCTS SDN BHD, NaN, (0 9) 783 1026, saycheng61@gmail.com, Mr Ooi Say Cheng
SYARIKAT CHOW FONG TRADING SDN BHD, (0 9) 277 0928, (0 9) 277 4228, chowfongtrading2@gmail.com, Mr Lim Lik Chun
SYARIKAT JAYA WASO DUNGUN SDN BHD, (0 9) 551 7301, (0 9) 551 7300, jayawaso@yahoo.com, Mr Ng Sai Yee
SYARIKAT JAYA WASO SDN BHD, + 60 9 551 7301, + 60 9 551 7300, saiyee23@yahoo.com, Mr Ng SY
SYARIKAT KAYU-KAYAN BAOLI SDN BHD, + 60 5 466 7076, + 60 5 465 2835, syktbaoli99@yahoo.com.my, Mr Yeoh Hock Chai
SYARIKAT KAYU-KAYAN JAYAKAS SDN BHD, + 60 (04) 431 4313| 431 4314, + 60 (04) 431 4315, jayakas@jayakas.com, Mr Cheng Joo Chooi
SYARIKAT KEMAMAN TIMBER TRADING SDN BHD, + 60 9 517 7677| 517 7510, + 60 9 517 7348| 513 2848, admin@kemtimber.com, Mr Gerry Lim
SYARIKAT KILANG PAPAN SERI BUKIT KEPONG SDN BHD, + 60 6 971 0369, + 60 6 971 0998, skpsbksb@gmail.com, Mr Wong Wan Loy
SYARIKAT KILANG PAPAN SUNGAI CHARU SDN BHD, + 60 9 547 8171, + 60 9 547 8575, low8998@hotmail.com, Mr Low Kian Chong
SYARIKAT MINHO KILNING SDN BHD, + 60 3 3291 1300, + 60 3 3291 2100, minho.accdept@gmail.com, Mr Lim Kee Poh
SYARIKAT PERABUT BUKIT BATU SDN BHD, + 60 6 986 5269, + 60 6 986 6503, N. A., Mr Toh SS
SYARIKAT POH HUP SDN BHD, + 60 5 495 6858, + 60 5 495 6262, pohhup@yahoo.com, Mr Tan Sian Kuang
SYARIKAT TENAGA SETIASAMA SDN BHD, (03) 3101 3039 / 3101 3376 / 3101 3797, (03) 3101 5880, vivian@tenagasetia.com, Ms Lim Sze Yuen
SYARIKAT USAHASAMA GUA MUSANG, + 60 (03) 9011 0966, + 60 (03) 9011 0966, N.A, Mr Lum
SYMPHONY SOLUTION SDN BHD, NaN, NaN, symphonysolution88@gmail.com, Mr Wong Chee Yai
TAICHEN ENTERPRISE SDN BHD, + 60 3 6189 9043, + 60 3 6189 9044, cctai@taichen.com.my, Mr Tai CC
TAIK SIN TIMBER INDUSTRY SDN BHD, + 60 3 3168 6842, + 60 3 3167 2997, admin@taiksintimber.cm.my, Mr Goh Boon Kim
TAISHI-TECH INDUSTRIES SDN BHD, + 60 7 428 6222, + 60 7 428 5655, cchieng@taishi.asia, Mr Chua Chee Hieng (Managing Director)
